id,city,country,state,zipcode
166,Medak,India,Andhra Pradesh,502273
167,Nellore,India,Andhra Pradesh,524203
168,Guntur,India,Andhra Pradesh,522211
169,Krishna,India,Andhra Pradesh,521330
170,East Godavari,India,Andhra Pradesh,533307
171,Nalgonda,India,Andhra Pradesh,508290
172,Nalgonda,India,Andhra Pradesh,508227
173,East Godavari,India,Andhra Pradesh,533406
174,Nellore,India,Andhra Pradesh,524304
175,East Godavari,India,Andhra Pradesh,533252
176,Karimnagar,India,Andhra Pradesh,505466
177,Karimnagar,India,Andhra Pradesh,505514
178,Krishna,India,Andhra Pradesh,521176
179,East Godavari,India,Andhra Pradesh,533557
180,Chittoor,India,Andhra Pradesh,517325
181,Anantapur,India,Andhra Pradesh,515455
182,Guntur,India,Andhra Pradesh,522310
183,East Godavari,India,Andhra Pradesh,533005
184,Hyderabad,India,Andhra Pradesh,500049
185,Guntur,India,Andhra Pradesh,522503
186,Vizianagaram,India,Andhra Pradesh,531230
187,Vishakhapatnam,India,Andhra Pradesh,531149
188,Vishakhapatnam,India,Andhra Pradesh,531151
189,Srikakulam,India,Andhra Pradesh,532401
190,West Godavari,India,Andhra Pradesh,534230
191,Anantapur,India,Andhra Pradesh,515001
192,Nellore,India,Andhra Pradesh,524119
193,Nizamabad,India,Andhra Pradesh,503224
194,Nizamabad,India,Andhra Pradesh,503224
195,Nizamabad,India,Andhra Pradesh,503224
196,Chittoor,India,Andhra Pradesh,517330
197,Nalgonda,India,Andhra Pradesh,508112
198,Prakasam,India,Andhra Pradesh,523335
199,Krishna,India,Andhra Pradesh,521114
200,West Godavari,India,Andhra Pradesh,534152
201,Chittoor,India,Andhra Pradesh,517129
202,Krishna,India,Andhra Pradesh,520002
203,Guntur,India,Andhra Pradesh,522002
204,Guntur,India,Andhra Pradesh,522601
205,Medak,India,Andhra Pradesh,502220
206,East Godavari,India,Andhra Pradesh,533104
207,Karimnagar,India,Andhra Pradesh,505173
208,Hyderabad,India,Andhra Pradesh,500020
209,Kurnool,India,Andhra Pradesh,518005
210,Warangal,India,Andhra Pradesh,506133
211,Khammam,India,Andhra Pradesh,507116
212,Hyderabad,India,Andhra Pradesh,500028
213,Asifabad,India,Andhra Pradesh,504293
214,Kurnool,India,Andhra Pradesh,518347
215,Khammam,India,Andhra Pradesh,507301
216,Guntur,India,Andhra Pradesh,522409
217,Vishakhapatnam,India,Andhra Pradesh,531011
218,Cuddapah,India,Andhra Pradesh,516501
219,Anantapur,India,Andhra Pradesh,515751
220,Kurnool,India,Andhra Pradesh,518422
221,Medak,India,Andhra Pradesh,502292
222,Nalgonda,India,Andhra Pradesh,508111
223,Nellore,India,Andhra Pradesh,524322
224,Warangal,India,Andhra Pradesh,506342
225,Mahboobnagar,India,Andhra Pradesh,509131
226,East Godavari,India,Andhra Pradesh,533235
227,West Godavari,India,Andhra Pradesh,534134
228,West Godavari,India,Andhra Pradesh,534134
229,Krishna,India,Andhra Pradesh,521211
230,Mahboobnagar,India,Andhra Pradesh,509363
231,Vishakhapatnam,India,Andhra Pradesh,530012
232,Krishna,India,Andhra Pradesh,521121
233,Krishna,India,Andhra Pradesh,521121
234,East Godavari,India,Andhra Pradesh,533230
235,Vishakhapatnam,India,Andhra Pradesh,530001
236,Chittoor,India,Andhra Pradesh,517109
237,Krishna,India,Andhra Pradesh,520003
238,Chittoor,India,Andhra Pradesh,517278
239,Ranga Reddy,India,Andhra Pradesh,501504
240,Hyderabad,India,Andhra Pradesh,500038
241,Anantapur,India,Andhra Pradesh,515862
242,Krishna,India,Andhra Pradesh,521102
243,Cuddapah,India,Andhra Pradesh,516227
244,Cuddapah,India,Andhra Pradesh,516227
245,Hyderabad,India,Andhra Pradesh,500264
246,Chittoor,India,Andhra Pradesh,517415
247,Hyderabad,India,Andhra Pradesh,500048
248,Chittoor,India,Andhra Pradesh,517194
249,Mahboobnagar,India,Andhra Pradesh,509202
250,Guntur,India,Andhra Pradesh,522202
251,Nalgonda,India,Andhra Pradesh,508206
252,Nellore,India,Andhra Pradesh,524002
253,Cuddapah,India,Andhra Pradesh,516484
254,Krishna,India,Andhra Pradesh,521001
255,Cuddapah,India,Andhra Pradesh,516484
256,Nellore,India,Andhra Pradesh,524129
257,Chittoor,India,Andhra Pradesh,517561
258,Vizianagaram,India,Andhra Pradesh,532557
259,Balkonda,India,Andhra Pradesh,503217
260,Balusupadu,India,Andhra Pradesh,521177
261,Kurnool,India,Andhra Pradesh,518124
262,Kurnool,India,Andhra Pradesh,518124
263,Bandankal,India,Andhra Pradesh,505407
264,East Godavari,India,Andhra Pradesh,533221
265,Guntur,India,Andhra Pradesh,522021
266,Kurnool,India,Andhra Pradesh,518523
267,Krishna,India,Andhra Pradesh,521179
268,Guntur,India,Andhra Pradesh,522663
269,Prakasam,India,Andhra Pradesh,523226
270,Nellore,India,Andhra Pradesh,524404
271,Chittoor,India,Andhra Pradesh,517416
272,Khammam,India,Andhra Pradesh,507202
273,Hyderabad,India,Andhra Pradesh,500034
274,Nalgonda,India,Andhra Pradesh,508213
275,Banswada,India,Andhra Pradesh,503187
276,Nizamabad,India,Andhra Pradesh,503187
277,Warangal,India,Andhra Pradesh,506003
278,Medak,India,Andhra Pradesh,502103
279,Bardipur,India,Andhra Pradesh,503231
280,Hyderabad,India,Andhra Pradesh,500027
281,Srikakulam,India,Andhra Pradesh,532263
282,Srikakulam,India,Andhra Pradesh,532264
283,Karimnagar,India,Andhra Pradesh,505187
284,Adilabad,India,Andhra Pradesh,504101
285,Anantapur,India,Andhra Pradesh,515306
286,Hyderabad,India,Andhra Pradesh,500001
287,Ranga Reddy,India,Andhra Pradesh,501143
288,Ranga Reddy,India,Andhra Pradesh,501528
289,Krishna,India,Andhra Pradesh,521001
290,Anantapur,India,Andhra Pradesh,515661
291,Srikakulam,India,Andhra Pradesh,532456
292,Cuddapah,India,Andhra Pradesh,516164
293,Khammam,India,Andhra Pradesh,507127
294,Khammam,India,Andhra Pradesh,507211
295,Hyderabad,India,Andhra Pradesh,500004
296,East Godavari,India,Andhra Pradesh,533242
297,Warangal,India,Andhra Pradesh,506002
298,Hyderabad,India,Andhra Pradesh,500039
299,Karimnagar,India,Andhra Pradesh,505188
300,Hyderabad,India,Andhra Pradesh,500012
301,Hyderabad,India,Andhra Pradesh,500016
302,Hyderabad,India,Andhra Pradesh,500003
303,Karimnagar,India,Andhra Pradesh,505528
304,Adilabad,India,Andhra Pradesh,504324
305,Kurnool,India,Andhra Pradesh,518462
306,Guntur,India,Andhra Pradesh,522411
307,Adilabad,India,Andhra Pradesh,504251
308,Adilabad,India,Andhra Pradesh,504251
309,Adilabad,India,Andhra Pradesh,504251
310,Hyderabad,India,Andhra Pradesh,500049
311,Anantapur,India,Andhra Pradesh,515741
312,West Godavari,India,Andhra Pradesh,534001
313,West Godavari,India,Andhra Pradesh,533409
314,East Godavari,India,Andhra Pradesh,533210
315,Nellore,India,Andhra Pradesh,524126
316,Krishna,India,Andhra Pradesh,520002
317,Kurnool,India,Andhra Pradesh,518599
318,Guntur,India,Andhra Pradesh,522279
319,Krishna,India,Andhra Pradesh,521301
320,Bhadrachalam,India,Andhra Pradesh,507111
321,West Godavari,India,Andhra Pradesh,534251
322,Adilabad,India,Andhra Pradesh,504001
323,Kurnool,India,Andhra Pradesh,518004
324,Bhainsa,India,Andhra Pradesh,504103
325,Khammam,India,Andhra Pradesh,507101
326,Chittoor,India,Andhra Pradesh,517501
327,Vishakhapatnam,India,Andhra Pradesh,530012
328,Medak,India,Andhra Pradesh,502103
329,Kurnool,India,Andhra Pradesh,518301
330,East Godavari,India,Andhra Pradesh,533003
331,Krishna,India,Andhra Pradesh,521001
332,Krishna,India,Andhra Pradesh,521140
333,Guntur,India,Andhra Pradesh,522256
334,Krishna,India,Andhra Pradesh,521118
335,Krishna,India,Andhra Pradesh,521231
336,Hyderabad,India,Andhra Pradesh,500002
337,Nizamabad,India,Andhra Pradesh,503115
338,Vizianagaram,India,Andhra Pradesh,531241
339,East Godavari,India,Andhra Pradesh,533514
340,Vishakhapatnam,India,Andhra Pradesh,531163
341,Adilabad,India,Andhra Pradesh,504204
342,Karimnagar,India,Andhra Pradesh,505471
343,Nizamabad,India,Andhra Pradesh,503101
344,Nizamabad,India,Andhra Pradesh,503307
345,Chittoor,India,Andhra Pradesh,517106
346,West Godavari,India,Andhra Pradesh,534201
347,West Godavari,India,Andhra Pradesh,534301
348,West Godavari,India,Andhra Pradesh,534203
349,East Godavari,India,Andhra Pradesh,533410
350,West Godavari,India,Andhra Pradesh,534301
351,Nizamabad,India,Andhra Pradesh,503307
352,Kurnool,India,Andhra Pradesh,505101
353,Vizianagaram,India,Andhra Pradesh,531216
354,Nalgonda,India,Andhra Pradesh,508116
355,Hyderabad,India,Andhra Pradesh,500003
356,Hyderabad,India,Andhra Pradesh,500003
357,Bhongir,India,Andhra Pradesh,508116
358,Nalgonda,India,Andhra Pradesh,508116
359,Nalgonda,India,Andhra Pradesh,508224
360,Adilabad,India,Andhra Pradesh,504001
361,Khammam,India,Andhra Pradesh,507112
362,Mahboobnagar,India,Andhra Pradesh,509382
363,Nalgonda,India,Andhra Pradesh,508126
364,Nizamabad,India,Andhra Pradesh,503125
365,East Godavari,India,Andhra Pradesh,533343
366,Nizamabad,India,Andhra Pradesh,503306
367,Karimnagar,India,Andhra Pradesh,505475
368,Mahboobnagar,India,Andhra Pradesh,509203
369,Karimnagar,India,Andhra Pradesh,505475
370,Mahboobnagar,India,Andhra Pradesh,509145
371,Prakasam,India,Andhra Pradesh,523106
372,Nizamabad,India,Andhra Pradesh,503321
373,Nellore,India,Andhra Pradesh,524142
374,Nellore,India,Andhra Pradesh,524142
375,Adilabad,India,Andhra Pradesh,504304
376,Vizianagaram,India,Andhra Pradesh,532573
377,Vizianagaram,India,Andhra Pradesh,532573
378,Vizianagaram,India,Andhra Pradesh,532558
379,Vizianagaram,India,Andhra Pradesh,532558
380,Vizianagaram,India,Andhra Pradesh,532558
381,East Godavari,India,Andhra Pradesh,533215
382,Kurnool,India,Andhra Pradesh,518146
383,Bodhan,India,Andhra Pradesh,503185
384,Nizamabad,India,Andhra Pradesh,503185
385,Guntur,India,Andhra Pradesh,522354
386,Guntur,India,Andhra Pradesh,522354
387,Nellore,India,Andhra Pradesh,524142
388,Cuddapah,India,Andhra Pradesh,516392
389,Hyderabad,India,Andhra Pradesh,500010
390,Cuddapah,India,Andhra Pradesh,516360
391,Kurnool,India,Andhra Pradesh,518517
392,Chittoor,India,Andhra Pradesh,517134
393,Anantapur,India,Andhra Pradesh,515763
394,Karimnagar,India,Andhra Pradesh,505480
395,Khammam,India,Andhra Pradesh,507204
396,Nalgonda,India,Andhra Pradesh,508126
397,Karimnagar,India,Andhra Pradesh,505472
398,Ranga Reddy,India,Andhra Pradesh,501502
399,Mahboobnagar,India,Andhra Pradesh,509345
400,Vishakhapatnam,India,Andhra Pradesh,531160
401,West Godavari,India,Andhra Pradesh,534207
402,Anantapur,India,Andhra Pradesh,515427
403,Vizianagaram,India,Andhra Pradesh,531260
404,Nalgonda,India,Andhra Pradesh,508105
405,Srikakulam,India,Andhra Pradesh,532408
406,Chittoor,India,Andhra Pradesh,517146
407,Karimnagar,India,Andhra Pradesh,505524
408,Chittoor,India,Andhra Pradesh,517108
409,Prakasam,India,Andhra Pradesh,523155
410,Prakasam,India,Andhra Pradesh,523110
411,Hyderabad,India,Andhra Pradesh,500361
412,Hyderabad,India,Andhra Pradesh,500011
413,Nellore,India,Andhra Pradesh,524346
414,Krishna,India,Andhra Pradesh,521370
415,Guntur,India,Andhra Pradesh,522214
416,Kurnool,India,Andhra Pradesh,518432
417,Srikakulam,India,Andhra Pradesh,532220
418,Guntur,India,Andhra Pradesh,522002
419,Nellore,India,Andhra Pradesh,524001
420,Ranga Reddy,India,Andhra Pradesh,501202
421,Chittoor,India,Andhra Pradesh,517111
422,Warangal,India,Andhra Pradesh,506221
423,Nellore,India,Andhra Pradesh,524305
424,Krishna,India,Andhra Pradesh,520002
425,Guntur,India,Andhra Pradesh,522013
426,Mahboobnagar,India,Andhra Pradesh,509213
427,Anantapur,India,Andhra Pradesh,515241
428,Srikakulam,India,Andhra Pradesh,532427
429,Adilabad,India,Andhra Pradesh,504106
430,Nellore,India,Andhra Pradesh,524003
431,Anantapur,India,Andhra Pradesh,515144
432,Anantapur,India,Andhra Pradesh,515144
433,Adilabad,India,Andhra Pradesh,504106
434,Chittoor,India,Andhra Pradesh,517351
435,Srikakulam,India,Andhra Pradesh,532417
436,Khammam,India,Andhra Pradesh,507114
437,Khammam,India,Andhra Pradesh,507001
438,Srikakulam,India,Andhra Pradesh,532445
439,Srikakulam,India,Andhra Pradesh,532551
440,Guntur,India,Andhra Pradesh,522601
441,Guntur,India,Andhra Pradesh,522201
442,Medak,India,Andhra Pradesh,502110
443,Nellore,India,Andhra Pradesh,524305
444,Srikakulam,India,Andhra Pradesh,532312
445,Nizamabad,India,Andhra Pradesh,503111
446,Guntur,India,Andhra Pradesh,522010
447,Vizianagaram,India,Andhra Pradesh,532502
448,Hyderabad,India,Andhra Pradesh,500003
449,Vishakhapatnam,India,Andhra Pradesh,530006
450,Karimnagar,India,Andhra Pradesh,505102
451,Krishna,India,Andhra Pradesh,521001
452,Warangal,India,Andhra Pradesh,534448
453,Nalgonda,India,Andhra Pradesh,508001
454,Ranga Reddy,India,Andhra Pradesh,501158
455,Chittoor,India,Andhra Pradesh,517001
456,Chittoor,India,Andhra Pradesh,517001
457,Chittoor,India,Andhra Pradesh,517001
458,Chittoor,India,Andhra Pradesh,517002
459,Srikakulam,India,Andhra Pradesh,532406
460,Nizamabad,India,Andhra Pradesh,503180
461,Khammam,India,Andhra Pradesh,507154
462,Nalgonda,India,Andhra Pradesh,508202
463,Warangal,India,Andhra Pradesh,506381
464,Srikakulam,India,Andhra Pradesh,532406
465,Cuddapah,India,Andhra Pradesh,516001
466,Cuddapah,India,Andhra Pradesh,516001
467,Cuddapah,India,Andhra Pradesh,516001
468,Cuddapah,India,Andhra Pradesh,516001
469,Cuddapah,India,Andhra Pradesh,516001
470,Cuddapah,India,Andhra Pradesh,516001
471,Cuddapah,India,Andhra Pradesh,516001
472,Cuddapah,India,Andhra Pradesh,516001
473,Kurnool,India,Andhra Pradesh,518206
474,Adilabad,India,Andhra Pradesh,504209
475,Hyderabad,India,Andhra Pradesh,500013
476,Hyderabad,India,Andhra Pradesh,500022
477,Hyderabad,India,Andhra Pradesh,500768
478,Ranga Reddy,India,Andhra Pradesh,500134
479,West Godavari,India,Andhra Pradesh,534196
480,Anantapur,India,Andhra Pradesh,515813
481,Nalgonda,India,Andhra Pradesh,508111
482,Warangal,India,Andhra Pradesh,506301
483,Kurnool,India,Andhra Pradesh,518553
484,West Godavari,India,Andhra Pradesh,534342
485,Hyderabad,India,Andhra Pradesh,500171
486,Hyderabad,India,Andhra Pradesh,500036
487,Nellore,India,Andhra Pradesh,524221
488,Cuddapah,India,Andhra Pradesh,516260
489,Nalgonda,India,Andhra Pradesh,508350
490,East Godavari,India,Andhra Pradesh,533503
491,Krishna,India,Andhra Pradesh,521126
492,Vizianagaram,India,Andhra Pradesh,532581
493,Anantapur,India,Andhra Pradesh,515419
494,Karimnagar,India,Andhra Pradesh,505505
495,Hyderabad,India,Andhra Pradesh,500024
496,Nalgonda,India,Andhra Pradesh,508259
497,Anantapur,India,Andhra Pradesh,515458
498,Mahboobnagar,India,Andhra Pradesh,509115
499,Krishna,India,Andhra Pradesh,521182
500,Guntur,India,Andhra Pradesh,522311
501,Guntur,India,Andhra Pradesh,522007
502,Chittoor,India,Andhra Pradesh,517101
503,Chittoor,India,Andhra Pradesh,517101
504,Krishna,India,Andhra Pradesh,520010
505,Khammam,India,Andhra Pradesh,507135
506,Hyderabad,India,Andhra Pradesh,500264
507,Nalgonda,India,Andhra Pradesh,508116
508,Nalgonda,India,Andhra Pradesh,508255
509,Karimnagar,India,Andhra Pradesh,505505
510,Srikakulam,India,Andhra Pradesh,532216
511,Kurnool,India,Andhra Pradesh,518675
512,Medak,India,Andhra Pradesh,502221
513,Chittoor,India,Andhra Pradesh,517260
514,Khammam,India,Andhra Pradesh,507133
515,West Godavari,India,Andhra Pradesh,534004
516,Guntur,India,Andhra Pradesh,522274
517,Guntur,India,Andhra Pradesh,522277
518,Prakasam,India,Andhra Pradesh,523188
519,Anantapur,India,Andhra Pradesh,515843
520,East Godavari,India,Andhra Pradesh,533449
521,Guntur,India,Andhra Pradesh,522212
522,Karimnagar,India,Andhra Pradesh,505412
523,Medak,India,Andhra Pradesh,502255
524,Mahboobnagar,India,Andhra Pradesh,509333
525,Mahboobnagar,India,Andhra Pradesh,509332
526,Ranga Reddy,India,Andhra Pradesh,501516
527,East Godavari,India,Andhra Pradesh,533261
528,Karimnagar,India,Andhra Pradesh,505468
529,Warangal,India,Andhra Pradesh,506168
530,Chembakur,India,Andhra Pradesh,517417
531,Chittoor,India,Andhra Pradesh,517417
532,Vishakhapatnam,India,Andhra Pradesh,530001
533,Anantapur,India,Andhra Pradesh,515101
534,Cuddapah,India,Andhra Pradesh,516502
535,Warangal,India,Andhra Pradesh,506332
536,Warangal,India,Andhra Pradesh,506332
537,Cuddapah,India,Andhra Pradesh,516162
538,Nellore,India,Andhra Pradesh,524406
539,Nizamabad,India,Andhra Pradesh,503228
540,Nalgonda,India,Andhra Pradesh,508013
541,Chittoor,India,Andhra Pradesh,517305
542,Chittoor,India,Andhra Pradesh,517305
543,Guntur,India,Andhra Pradesh,522309
544,Nalgonda,India,Andhra Pradesh,508258
545,Chittoor,India,Andhra Pradesh,517390
546,Khammam,India,Andhra Pradesh,507169
547,Khammam,India,Andhra Pradesh,507169
548,Ranga Reddy,India,Andhra Pradesh,501503
549,East Godavari,India,Andhra Pradesh,533225
550,Chittoor,India,Andhra Pradesh,517517
551,Hyderabad,India,Andhra Pradesh,500020
552,Medak,India,Andhra Pradesh,502374
553,Krishna,India,Andhra Pradesh,521002
554,Cuddapah,India,Andhra Pradesh,516310
555,Anantapur,India,Andhra Pradesh,515341
556,Hyderabad,India,Andhra Pradesh,500025
557,Nalgonda,India,Andhra Pradesh,508230
558,Krishna,India,Andhra Pradesh,521178
559,Nellore,India,Andhra Pradesh,524412
560,Guntur,India,Andhra Pradesh,522332
561,Prakasam,India,Andhra Pradesh,523226
562,Nalgonda,India,Andhra Pradesh,508116
563,Srikakulam,India,Andhra Pradesh,532001
564,Vishakhapatnam,India,Andhra Pradesh,531163
565,Prakasam,India,Andhra Pradesh,523135
566,Mahboobnagar,India,Andhra Pradesh,509218
567,Ranga Reddy,India,Andhra Pradesh,501143
568,Mahboobnagar,India,Andhra Pradesh,509243
569,Nalgonda,India,Andhra Pradesh,508287
570,Ranga Reddy,India,Andhra Pradesh,501512
571,Vishakhapatnam,India,Andhra Pradesh,530023
572,Cuddapah,India,Andhra Pradesh,516109
573,Guntur,India,Andhra Pradesh,522299
574,Guntur,India,Andhra Pradesh,522201
575,Adilabad,India,Andhra Pradesh,504110
576,Chittoor,India,Andhra Pradesh,517193
577,Cuddapah,India,Andhra Pradesh,516433
578,Cuddapah,India,Andhra Pradesh,516165
579,Cuddapah,India,Andhra Pradesh,516214
580,Anantapur,India,Andhra Pradesh,515422
581,Mahboobnagar,India,Andhra Pradesh,509141
582,West Godavari,India,Andhra Pradesh,534486
583,Adilabad,India,Andhra Pradesh,504201
584,Guntur,India,Andhra Pradesh,522620
585,Nalgonda,India,Andhra Pradesh,508250
586,Vishakhapatnam,India,Andhra Pradesh,531111
587,Chittoor,India,Andhra Pradesh,517277
588,Khammam,India,Andhra Pradesh,507208
589,Mahboobnagar,India,Andhra Pradesh,509111
590,West Godavari,India,Andhra Pradesh,534460
591,Medak,India,Andhra Pradesh,502299
592,East Godavari,India,Andhra Pradesh,533232
593,Krishna,India,Andhra Pradesh,521001
594,Khammam,India,Andhra Pradesh,507126
595,Srikakulam,India,Andhra Pradesh,532128
596,Medak,India,Andhra Pradesh,502220
